 2,500 Japanese  students in Osaka  protest against Iraq  war	Japanese PLACE country="JP" form="NAM" gazref="IGDB:19768770" id="Pl-7" latLong="36.000°N 138.000°E" predicative="true" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-12" latLong="33.000°N 44.000°E" predicative="true" type="COUNTRY",Osaka PLACE country="JP" form="NAM" gazref="IGDB:19759095" id="Pl-6" latLong="34.667°N 135.500°E" state="JP-27" type="PPLA"	Iraq 33.0 44.0 iq_00,Osaka 34.69374084472656 135.50218200683594 jp_32,
Some 2,500 mainly university students formed a human chain in Japanese characters spelling out "No War" in Osaka on Sunday to protest against the ongoing US -led military campaign in Iraq . "We cannot forgive this war," Miyako Fuji, 20, one of the rally's organisers told Jiji news agency.	Japanese PLACE country="JP" form="NAM" gazref="IGDB:19768770" id="Pl-8" latLong="36.000°N 138.000°E" predicative="true" type="COUNTRY",US PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-1" predicative="true" type="COUNTRY",Japan PLACE country="JP" form="NAM" gazref="IGDB:19768770" id="Pl-11" latLong="36.000°N 138.000°E" type="COUNTRY",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-14" latLong="33.000°N 44.000°E" type="COUNTRY",Osaka PLACE country="JP" form="NAM" gazref="IGDB:19759095" id="Pl-5" latLong="34.667°N 135.500°E" predicative="true" state="JP-27" type="PPLA"	Miyako 39.63666915893555 141.95249938964844 jp_16,Fuji -18.0 178.0 fj_00,Iraq 33.0 44.0 iq_00,Osaka 34.69374084472656 135.50218200683594 jp_32,
Protesters, who exceeded the 2,000 expected to show up at the park at Osaka Castle in the city 's downtown neighbourhood , carried placards that read "Stop war" and "Love and Peace" while forming the human chain after 3:00 pm (0600 GMT), Jiji said.	park PLACE country="JP" form="NOM" id="Pl-18" type="FAC",Castle PLACE country="JP" form="NOM" id="Pl-19" state="JP-27" type="FAC",neighbourhood PLACE country="JP" form="NOM" id="Pl-16" state="JP-27" type="RGN",city PLACE country="JP" form="NOM" gazref="IGDB:19759095" id="Pl-15" latLong="34.667°N 135.500°E" state="JP-27" type="PPLA",Osaka PLACE country="JP" form="NAM" gazref="IGDB:19759095" id="Pl-5" latLong="34.667°N 135.500°E" predicative="true" state="JP-27" type="PPLA"	
The protest follows a string of others involving tens of thousands of peace activists across Japan since January.	Japan PLACE country="JP" form="NAM" gazref="IGDB:19768770" id="Pl-11" latLong="36.000°N 138.000°E" type="COUNTRY"	Japan 35.685359954833984 139.7530975341797 jp_00,
According to a poll by Kyodo news agency released Saturday, 78 of 100 people surveyed opposed the military action in Iraq .	Kyodo PLACE country="JP" form="NAM" gazref="IGDB:19771159" id="Pl-17" latLong="35.667°N 139.750°E" predicative="true" state="JP-13" type="PPL",Iraq PLACE country="IQ" form="NAM" gazref="IGDB:16897518" id="Pl-14" latLong="33.000°N 44.000°E" type="COUNTRY"	Iraq 33.0 44.0 iq_00,
A separate poll of 1,846 adults by the leading Yomiuri newspaper published Tuesday showed 64 percent felt Japan had "no choice" but to back the United States , with only 12 percent saying Japan had "every reason" to back the war.	United States PLACE country="US" form="NAM" gazref="IGDB:840" id="Pl-2" type="COUNTRY",Japan PLACE country="JP" form="NAM" gazref="IGDB:19768770" id="Pl-11" latLong="36.000°N 138.000°E" type="COUNTRY"	United States 39.7599983215332 -98.5 us_00,Japan 35.685359954833984 139.7530975341797 jp_00,
 Energy regulator named new head of Britain  's FSA finance watchdog	Britain PLACE country="GB" form="NAM" gazref="IGDB:17389505" id="Pl-1" latLong="54.000°N 4.000°W" type="COUNTRY"	
British Chancellor of the Exchequer Gordon Brown on Tuesday named the current head of the country 's energy regulator as the new chairman of finance watchdog the Financial Services Authority (FSA).	British PLACE country="GB" form="NAM" gazref="IGDB:17389505" id="Pl-4" latLong="54.000°N 4.000°W" type="COUNTRY",country PLACE country="GB" form="NAM" gazref="GDB:17389505" id="Pl-9" latLong="54.000°N 4.000°W" type="COUNTRY"	
Former senior banker Callum McCarthy begins what is one of the most important jobs in London 's financial world in September, when incumbent Howard Davies steps down.	London PLACE country="GB" form="NAM" gazref="IGDB:17398111" id="Pl-8" latLong="51.500°N 0.117°W" state="ENG" type="PPLC"	Callum 46.516780853271484 -80.63301086425781 ca_08,Howard 44.54359817504883 -88.0881576538086 us_wi,London 51.50852966308594 -0.12574000656604767 gb_eng,
Davies is leaving to become chairman of the London School of Economics, one of the best-known parts of the University of London . Brown said McCarthy would bring to the FSA "an unrivalled combination of experience of the public sector, experience as a senior practitioner in the financial services industry, and chairman of a highly successful regulator."	London PLACE country="GB" form="NAM" gazref="IGDB:17398111" id="Pl-8" latLong="51.500°N 0.117°W" state="ENG" type="PPLC"	
McCarthy currently heads the Office of Gas and Electricity Markets, or Ofgem, which regulates Britain 's privatised energy industry.	Britain PLACE country="GB" form="NAM" gazref="IGDB:17389505" id="Pl-3" latLong="54.000°N 4.000°W" type="COUNTRY"	
