John	77 saints, 69 blessed
Maria	24 saints, 71 blessed
Peter	63 saints, 28 blessed
Thomas	16 saints, 46 blessed
William	12 saints, 36 blessed
Paul	35 saints, 8 blessed
Joseph	26 saints, 7 blessed
Marie	7 saints, 25 blessed
Felix	26 saints, 1 blessed
Andrew	18 saints, 7 blessed
James	16 saints, 9 blessed
Robert	7 saints, 18 blessed
Anthony	12 saints, 12 blessed
Dominic	15 saints, 9 blessed
Richard	7 saints, 17 blessed
Giovanni	6 saints, 17 blessed
Leo	17 saints, 5 blessed
Vincent	20 saints, 1 blessed
Alexander	19 saints, 1 blessed
Maximus	19 saints
Michael	6 saints, 13 blessed
Pedro	8 saints, 11 blessed
Anastasius	18 saints
Edward	3 saints, 15 blessed
Francis	8 saints, 10 blessed
Victor	17 saints, 1 blessed
Antonio	6 saints, 11 blessed
Francisco	8 saints, 9 blessed
José	7 saints, 10 blessed
Juan	9 saints, 8 blessed
Benedict	14 saints, 2 blessed
Julian	14 saints, 2 blessed
Mary	10 saints, 6 blessed
Bernard	11 saints, 4 blessed
Dionysius	14 saints, 1 blessed
Louis	5 saints, 10 blessed
Nicholas	6 saints, 9 blessed
Giuseppe	8 saints, 6 blessed
Gregory	13 saints, 1 blessed
Teresa	8 saints, 6 blessed
Hugh	8 saints, 5 blessed
Philip	10 saints, 3 blessed
Pierre	5 saints, 8 blessed
Theodore	13 saints
Albert	9 saints, 3 blessed
Francesco	8 saints, 4 blessed
Jean	7 saints, 5 blessed
Severinus	12 saints
Agnes	6 saints, 5 blessed
Anne	5 saints, 6 blessed
Augustine	9 saints, 2 blessed
Margaret	7 saints, 4 blessed
Pietro	11 blessed
Stephen	11 saints
Athanasius	10 saints
Bartholomew	5 saints, 5 blessed
Caterina	6 saints, 4 blessed
Charles	5 saints, 5 blessed
Giacomo	1 saint, 9 blessed
Jeanne	7 saints, 3 blessed
Lawrence	3 saints, 7 blessed
Angelo	1 saint, 8 blessed
Edmund	5 saints, 4 blessed
George	3 saints, 6 blessed
Leontius	9 saints
Lucius	9 saints
Romanus	8 saints, 1 blessed
Saturninus	9 saints
Theophilus	9 saints
Adrian	7 saints, 1 blessed
Andrea	3 saints, 5 blessed
Claudius	8 saints
Fortunatus	8 saints
François	5 saints, 3 blessed
Françoise	2 saints, 6 blessed
Gerard	4 saints, 4 blessed
Henry	4 saints, 4 blessed
Hilary	8 saints
Ignatius	4 saints, 4 blessed
Isidore	6 saints, 2 blessed
Justus	8 saints
Luigi	2 saints, 6 blessed
Paulinus	8 saints
Zosimus	8 saints
Abraham	7 saints
Alonso	3 saints, 4 blessed
Ambrose	5 saints, 2 blessed
Angela	1 saint, 6 blessed
Anna	7 blessed
Apollinaris	6 saints, 1 blessed
Baptist	5 saints, 2 blessed
Boniface	6 saints, 1 blessed
Christina	3 saints, 4 blessed
Christopher	2 saints, 5 blessed
Columba	5 saints, 2 blessed
Cyprian	6 saints, 1 blessed
Daniel	6 saints, 1 blessed
David	6 saints, 1 blessed
Donatus	7 saints
Elizabeth	7 saints
Faustus	7 saints
Florentius	7 saints
Gabriel	5 saints, 2 blessed
Jan	4 saints, 3 blessed
Juliana	6 saints, 1 blessed
Luke	6 saints, 1 blessed
Macarius	7 saints
Matthew	5 saints, 2 blessed
Matthias	2 saints, 5 blessed
Ralph	2 saints, 5 blessed
Roger	7 blessed
Sebastian	1 saint, 6 blessed
Sergius	7 saints
Simeon	7 saints
Simon	5 saints, 2 blessed
Valerius	7 saints
Walter	4 saints, 3 blessed
Zeno	7 saints
Abundius	6 saints
Agatha	6 saints
Benignus	6 saints
Bruno	6 saints
Colmán	6 saints
Conrad	3 saints, 3 blessed
Diego	2 saints, 4 blessed
Eleutherius	6 saints
Emilian	5 saints, 1 blessed
Eusebius	6 saints
Ferreolus	5 saints, 1 blessed
Hermes	6 saints
Honoratus	5 saints, 1 blessed
Lambert	5 saints, 1 blessed
Laurence	5 saints, 1 blessed
Lorenzo	3 saints, 3 blessed
Lucy	4 saints, 2 blessed
Luis	2 saints, 4 blessed
Martin	4 saints, 2 blessed
Odo	4 saints, 2 blessed
Paternus	6 saints
Serapion	5 saints, 1 blessed
